히브리서 11:5,2021_02_21
고린도후서 12:9-10,2021_02_14
민수기 13:30-33,2021_02_07
사사기 17:6,2021_01_31
출애굽기 19:5-6,2021_01_24
사도행전 28:31,2021_01_17
마태복음 1:23,2021_01_10
사도행전 27:9-25,2021_01_03
사도행전 21:1-14,2020_12_27
사도행전 18:1-11,2020_12_20
사도행전 13:4-12,2020_12_13
사도행전 9:23-31,2020_12_06
사도행전 5:1-11,2020_11_29
사도행전 1:1-8,2020_11_22
레위기 19:2,2020_11_15
레위기 7:37-38,2020_11_08
레위기 17:14,2020_11_01
레위기 8:34-36,2020_10_25
레위기 16:29-24,2020_10_18
레위기 10:8-11,2020_10_11
데살로니가전서 4:3,2020_10_04
데살로니가전서 4:1-12,2020_09_27
누가복음 17:11-19,2020_09_20
갈라디아서 6:1-10,2020_09_13
마태복음 1:1-17,2020_09_06
갈라디아서 4:8-20,2020_08_30
갈라디아서 3:1-9,2020_08_23
빌립보서 2:12-16,2020_08_16
빌립보서 3:17-21,2020_08_09
빌립보서 1:21-26,2020_08_02
빌리보서 1:1-5,2020_07_26
데살로니가전서 1:1-10,2020_07_19
에베소서 1:3-14,2020_07_12
창세기 2:8-17,2020_07_05
시편 92편,2020_06_28
시편 2:1-12,2020_06_21
시편 1편-2편,2020_06_14
사사기 14:10-14,2020_06_07
마태복음 28:1-10,2020_05_31
신명기 11:8-12,2020_05_24
마태복음 20:1-16,2020_05_17
에베소서 2:1-3,2020_05_10
창세기 50:22-26,2020_05_03
누가복음 15:1-11,2020_04_26
마가복음 5:25-34,2020_04_19
창세기 22:1-14,2020_04_12
신명기 30:6,2020_04_05
No Content,2020_03_29
No Content,2020_03_22
창세기 17:1-7,2020_03_15
신명기 5:1-3,2020_03_08
창세기 2:8,2020_03_01
창세기 3:6,2020_02_23
창세기 3:1-7,2020_02_16
창세기 1:26,2020_02_09
고린도전서 15:14-20,2020_02_02
요한복음 19:26-27,2020_01_26
No Content,2020_01_19
창세기 1:31-2:3,2020_01_12
창세기 1:1-5,2020_01_05
